Apple MacBook Air MQD32HN/A 13.3-inch Laptop 2017 (Core i5/8GB/128GB/MacOS Sierra/Integrated Graphics) 57,490.00
HP 15q-BU004TU 2017 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Free DOS/Integrated Graphics), Grey 27,490.00
Dell Vostro 3468 14-inch Laptop (7th Gen i3/4GB/1TB/Windows 10/Integrated Graphics), Black with Pre-loaded with MS Office 34,990.00
Acer Aspire 3 A315-51-356P UN.GNPSI.001 15.6-inch Laptop (Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics), Obsidian Black 27,490.00
HP 15-BS576tx 2017 15.6-inch Laptop (7th Gen Core i5-7200U/8GB/1TB/DOS/2GB Graphics), Sparkling Black 44,190.00
Asus E203NA-FD026T 11.6-Inch HD Laptop (Celeron N3350/2 GB DDR 3 RAM/32 GB/Windows 10/Integrated Graphics), Star Grey 14,827.00
Dell Vostro 3568 15.6-inch Laptop (7th Gen Core i5-7200/8GB/1TB/Windows 10 Home/2GB Graphics), Black 47,990.00
Dell Inspiron 15-3567 15.6-inch Laptop (Core i3 6th Gen -6006U/4GB/1TB/Integrated Graphics) comes with Ubuntu OS. 29,194.00
HP 15-be016TU 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/FreeDOS 2.0/Integrated Graphics), Turbo Silver 28,290.00
Lenovo Ideapad 320E 80XH01FHIN 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics), Platinum Grey 32,503.00
Acer Aspire 5 -A515-51G 15.6 inch Laptop (Core i5 7200u/8GB/1TB/Linux/2 GB Graphics/NVIDIA 940 MX),Black 40,183.00
Lenovo Ideapad 110 80T70015IH 15.6-inch Laptop (Pentium N3710/4GB/1TB/DOS/Integrated Graphics) 23,352.00
HP 15-bs541TU 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Windows 10 Home/MS Office H & S 2016 edition, Integrated Graphics), Sparkling Black 34,444.00
HP 15-AU003TX 15.6-inch Laptop (Core i5-6200U/8GB/1TB/Windows 10 Home/2GB Graphics), Natural Silver 47,990.00
HP 15-bs542TU 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/FreeDOS 2.0/Integrated Graphics), Sparkling Black 26,999.00
